campo1,campo2,campo3,clase
-2.579366244412408,-4.221362806761919,3.986363964528607,A
-2.5484184580740052,-5.0686613556676825,2.162061376803262,A
-3.046116303785377,-5.382800651066821,0.6059625220633684,A
-4.194873824077114,-4.204065086438041,1.313377505010827,A
-4.939461677737468,-2.6635456788484704,2.324610089330286,A
-4.4118271989010545,-3.966890331584781,1.2917835751737332,A
-3.210265501605043,-4.647552369310746,2.1868888009163525,A
-5.058509613136627,-3.155620910419654,1.2449292535851342,A
-4.840248581446148,-2.547054280191575,2.6730469974491395,A
-4.01037586680704,-2.9014249721708776,3.9758103441953647,A
-3.2177242550650176,-3.950375890713194,3.734206484202078,A
-3.9743087326799276,-4.770108334404246,0.5255574915930907,A
-3.724291112274477,-4.591093814855092,1.2786127424377902,A
-4.609097550570832,-2.8146517634101,2.885884985722994,A
-3.260682711470771,-2.4718098982003402,5.9363790234036955,A
-2.354732754265099,-4.779432728095008,3.131152718109014,A
-2.5795936124660352,-2.564003316102908,6.70725472349248,A
-2.505165491981999,-3.055485309493192,6.1171464258325114,A
-4.787883900992913,-2.5605235180727277,2.721835498770645,A
-4.496119284662749,-3.331887835583612,2.2096571800858733,A
-4.865409602194422,-4.497630025099133,-0.8703881765030914,A
-4.612197533054749,-4.887057567471078,-1.2366494341708556,A
-2.907115689524179,-3.770365789639646,4.530522664536396,A
-4.959375393786017,-5.069468937375751,-2.516874478698149,A
-3.014526709562683,-3.3407841064300454,5.060290639953558,A
-4.8026701192976375,-3.7157426288989384,0.9891727902689329,A
-3.543484901224462,-2.5614090229702366,5.440281655458531,A
-1.9489792101922787,-3.4824163910795867,6.110102218569343,A
-3.594117195334259,-4.008647838167751,2.9866850974136048,A
-3.8746622468742222,-5.012983214796362,0.13481737009003503,A
-3.439644221835649,-3.693131041796991,3.758194799240785,A
-4.12631781417379,-4.33205443413862,1.0955365917883526,A
-2.7668537240296693,-2.173915465226767,7.092364143437815,A
-4.67318844428066,-3.9443887691336563,0.711255293066376,A
-2.3227462104783507,-3.31193608313188,6.082809875330193,A
-1.7328268785231167,-3.21666895235099,6.91063468910064,A
-4.342812798498366,-3.1013245635351163,2.9155215316233463,A
-4.427709483275115,-2.268907227177577,3.958851748626472,A
-4.585681452736206,-4.219649807387467,0.32747728697766476,A
-1.8504188405169646,-2.99902234393745,6.993316761844262,A
-2.40356198255398,-2.294074631370312,7.4001059772547775,A
-2.5990450077836122,-3.6073701088375123,5.088329961324467,A
-2.48281179172844,-4.734043595610725,2.998377574549833,A
